 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    1700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2370.91221 2271.03803 2291.94051 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  712.69483  723.05710  360.84570  725.52491
    1800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2371.75047 2272.16922 2291.16294 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  718.59221  728.96065  358.52530  731.61483
    1900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2372.48604 2273.15993 2290.47520 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  723.80951  734.18339  356.49009  737.00190
    2000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2373.13257 2274.02925 2289.86652 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  728.42805  738.80674  354.70209  741.77029
    2100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2373.70163 2274.79326 2289.32748 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  732.51878  742.90174  353.12902  745.99341
    2200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2374.20315 2275.46567 2288.84990 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  736.14376  746.53049  351.74331  749.73545
    2300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2374.64561 2276.05820 2288.42657 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  739.35735  749.74744  350.52130  753.05262
    2400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2375.03634 2276.58089 2288.05119 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  742.20730  752.60036  349.44260  755.99426
    2500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2375.38168 2277.04241 2287.71821 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  744.73556  755.13127  348.48959  758.60376
    2600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2375.68711 2277.45026 2287.42276 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  746.97909  757.37715  347.64700  760.91927
