 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    6300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.05533 2280.60134 2285.10168 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.61104  775.02764  341.12456  779.11395
    6400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.05873 2280.60584 2285.09831 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.63661  775.05324  341.11522  779.14033
    6500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.06175 2280.60984 2285.09532 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.65935  775.07600  341.10692  779.16380
    6600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.06443 2280.61340 2285.09266 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.67958  775.09625  341.09954  779.18466
    6700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.06682 2280.61657 2285.09029 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.69756  775.11425  341.09298  779.20322
    6800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.06894 2280.61938 2285.08819 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.71356  775.13026  341.08714  779.21972
    6900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07083 2280.62189 2285.08631 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.72778  775.14450  341.08195  779.23440
    7000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07251 2280.62411 2285.08465 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.74043  775.15717  341.07734  779.24745
    7100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07400 2280.62609 2285.08317 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.75168  775.16843  341.07323  779.25906
    7200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07533 2280.62785 2285.08185 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.76169  775.17844  341.06958  779.26938
    7300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07651 2280.62942 2285.08068 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.77058  775.18735  341.06633  779.27856
    7400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07756 2280.63081 2285.07964 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.77850  775.19527  341.06345  779.28672
    7500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07849 2280.63205 2285.07871 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.78553  775.20232  341.06088  779.29399
    7600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.07932 2280.63315 2285.07789 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.79179  775.20858  341.05860  779.30044
    7700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08006 2280.63413 2285.07716 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.79736  775.21415  341.05656  779.30618
    7800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08072 2280.63500 2285.07651 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.80231  775.21911  341.05476  779.31129
    7900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08130 2280.63578 2285.07593 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.80671  775.22351  341.05315  779.31583
    8000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08182 2280.63647 2285.07541 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.81062  775.22743  341.05172  779.31987
    8100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08229 2280.63708 2285.07495 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.81410  775.23092  341.05045  779.32346
    8200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08270 2280.63762 2285.07455 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.81720  775.23402  341.04932  779.32666
    8300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08306 2280.63811 2285.07419 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.81995  775.23677  341.04832  779.32950
    8400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08339 2280.63854 2285.07386 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.82240  775.23922  341.04743  779.33202
    8500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08368 2280.63892 2285.07358 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.82458  775.24140  341.04663  779.33427
    8600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08393 2280.63926 2285.07332 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.82651  775.24334  341.04593  779.33627
    8700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08416 2280.63957 2285.07309 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.82824  775.24506  341.04530  779.33804
    8800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08436 2280.63984 2285.07289 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.82977  775.24660  341.04474  779.33962
    8900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08454 2280.64008 2285.07271 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83113  775.24796  341.04424  779.34103
    9000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08471 2280.64029 2285.07255 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83234  775.24917  341.04380  779.34228
    9100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08485 2280.64048 2285.07241 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83342  775.25025  341.04341  779.34339
    9200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08498 2280.64065 2285.07229 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83438  775.25121  341.04306  779.34438
    9300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08509 2280.64080 2285.07217 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83523  775.25206  341.04275  779.34526
    9400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08519 2280.64093 2285.07208 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83598  775.25282  341.04247  779.34604
    9500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08528 2280.64105 2285.07199 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83666  775.25350  341.04222  779.34673
    9600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08536 2280.64115 2285.07191 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83726  775.25410  341.04201  779.34735
    9700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08543 2280.64125 2285.07184 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83779  775.25463  341.04181  779.34790
    9800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08549 2280.64133 2285.07178 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83826  775.25510  341.04164  779.34839
    9900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08555 2280.64141 2285.07172 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83869  775.25553  341.04148  779.34883
   10000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08560 2280.64147 2285.07167 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83906  775.25590  341.04135  779.34921
   10100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08564 2280.64153 2285.07163 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83939  775.25624  341.04123  779.34956
   10200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08568 2280.64158 2285.07159 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83969  775.25653  341.04112  779.34986
   10300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08572 2280.64163 2285.07155 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.83995  775.25680  341.04102  779.35014
   10400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08575 2280.64167 2285.07152 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84019  775.25703  341.04094  779.35038
   10500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08577 2280.64171 2285.07149 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84040  775.25724  341.04086  779.35059
   10600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08580 2280.64174 2285.07147 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84058  775.25742  341.04079  779.35078
   10700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08582 2280.64177 2285.07145 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84075  775.25759  341.04073  779.35095
   10800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08584 2280.64179 2285.07143 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84089  775.25774  341.04068  779.35110
   10900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08586 2280.64182 2285.07141 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84102  775.25787  341.04063  779.35124
   11000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08587 2280.64184 2285.07140 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84114  775.25798  341.04059  779.35136
   11100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08589 2280.64186 2285.07138 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84124  775.25809  341.04055  779.35147
   11200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08590 2280.64187 2285.07137 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84134  775.25818  341.04052  779.35156
   11300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08591 2280.64189 2285.07136 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84142  775.25826  341.04049  779.35164
   11400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08592 2280.64190 2285.07135 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84149  775.25833  341.04046  779.35172
   11500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08593 2280.64191 2285.07134 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84155  775.25840  341.04044  779.35179
   11600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08594 2280.64192 2285.07133 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84161  775.25845  341.04042  779.35185
   11700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08594 2280.64193 2285.07133 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84166  775.25851  341.04040  779.35190
   11800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08595 2280.64194 2285.07132 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84171  775.25855  341.04038  779.35194
   11900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08595 2280.64194 2285.07132 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84175  775.25859  341.04037  779.35199
   12000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08596 2280.64195 2285.07131 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84178  775.25863  341.04035  779.35202
   12100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08596 2280.64196 2285.07131 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84182  775.25866  341.04034  779.35206
   12200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08597 2280.64196 2285.07130 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84184  775.25869  341.04033  779.35209
   12300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08597 2280.64197 2285.07130 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84187  775.25871  341.04032  779.35211
   12400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08597 2280.64197 2285.07130 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84189  775.25874  341.04031  779.35213
   12500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64197 2285.07130 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84191  775.25876  341.04031  779.35216
   12600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64198 2285.07129 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84193  775.25877  341.04030  779.35217
   12700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64198 2285.07129 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84195  775.25879  341.04030  779.35219
   12800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64198 2285.07129 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84196  775.25880  341.04029  779.35220
   12900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64198 2285.07129 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84197  775.25882  341.04029  779.35222
   13000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08598 2280.64199 2285.07129 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84198  775.25883  341.04028  779.35223
   13100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84199  775.25884  341.04028  779.35224
   13200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84200  775.25885  341.04027  779.35225
   13300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84201  775.25885  341.04027  779.35226
   13400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84202  775.25886  341.04027  779.35226
   13500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84202  775.25887  341.04027  779.35227
   13600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84203  775.25887  341.04027  779.35228
   13700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64199 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84203  775.25888  341.04026  779.35228
   13800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64200 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84204  775.25888  341.04026  779.35228
   13900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64200 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84204  775.25889  341.04026  779.35229
   14000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.08599 2280.64200 2285.07128 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.84204  775.25889  341.04026  779.35229
